"Words" "MeanNgramFreq"
"196" "tricky" 9397.64
"197" "happy" 2647.63
"198" "frosty" 7811.85
"199" "heroic" 12803.02
"200" "buoyant" 7615.92
"201" "stubborn" 6088.92
"202" "misty" 8889.85
"203" "surgeon" 6428.28
"204" "spindly" 7380.43
"205" "teacher" 12982.55
"206" "textile" 10012.29
"207" "wishful" 3140.48
"208" "angler" 15693.08
"209" "naughty" 3021.58
"210" "chatter" 16437.68
"211" "others" 9272.32
"212" "ranger" 17699.06
"213" "villain" 10449.15
"214" "manly" 9149.41
"215" "coyness" 8470.2
"216" "beastly" 5613.48
"217" "acidic" 9466.99
"218" "perhaps" 7783.6
"219" "equipment" 6570.94
"220" "composer" 11501.83
"221" "palpably" 4689.92
"222" "ample" 7442
"223" "watcher" 11492.92
"224" "archer" 14902.72
"225" "calmness" 8859.56
"226" "selfless" 7836.96
"227" "bearded" 8265.66
"228" "bloody" 2964.64
"229" "bomber" 9242.61
"230" "brandy" 12158.71
"231" "foundry" 3673.22
"232" "warfare" 13176.94
"233" "bulbous" 2305.78
"234" "epileptic" 7458.58
"235" "enactment" 10510.24
"236" "ability" 6910.84
"237" "equally" 4864.64
"238" "service" 11300.29
"239" "developer" 10248.36
"240" "crafty" 5579.76
"241" "creamy" 8086.12
"242" "dweller" 10655.94
"243" "instruction" 10779.8
"244" "production" 8639.88
"245" "dialog" 10895.88
"246" "wearily" 9837.15
"247" "starter" 19622.49
"248" "feathery" 9405.05
"249" "early" 8511.28
"250" "vicarage" 12841.16
"251" "justify" 6591.05
"252" "fizzle" 4915.69
"253" "simplify" 6053.8
"254" "fleshy" 5504.45
"255" "flicker" 10678.56
"256" "missive" 8490.7
"257" "forceps" 5070.17
"258" "alcoholic" 9065.96
"259" "citation" 16165.87
"260" "snobbish" 4977.95
"261" "helmet" 7273.89
"262" "validity" 8734.38
"263" "murderous" 8758.7
"264" "anaesthetic" 11318.84
"265" "irony" 10308.73
"266" "jerkin" 11091.2
"267" "anxiously" 5543.34
"268" "extremism" 7615.64
"269" "marshy" 8314.64
"270" "friendly" 8970.54
"271" "organic" 11690.75
"272" "dreadful" 5144.69
"273" "absurdity" 4489.18
"274" "plucky" 1683.84
"275" "broiler" 11332.91
"276" "poetry" 5483.88
"277" "public" 6636.89
"278" "pulpit" 4068.85
"279" "putty" 4473.81
"280" "quartz" 7609.34
"281" "physical" 7249.75
"282" "exemption" 7692.2
"283" "risky" 8700.79
"284" "jauntily" 7023.94
"285" "scrape" 9052.97
"286" "sight" 4086.81
"287" "signet" 7940.93
"288" "smuggle" 4003.74
"289" "soften" 9865.04
"290" "idealism" 8522.71
"291" "defector" 7082.74
"292" "stirrup" 7990.6
"293" "stunt" 9536.52
"294" "medical" 10543.24
"295" "novelty" 6000.04
"296" "tactile" 10886.98
"297" "finally" 10295.87
"298" "booklet" 4621.91
"299" "trainee" 12332.94
"300" "trolley" 9569.3
"301" "trumpet" 6205.8
"302" "twinkle" 6016.38
"303" "united" 9716.29
"304" "viewer" 9273.42
"305" "grossly" 5872.12
"306" "whisker" 8609.27
"307" "acreage" 7728.24
"308" "kingdom" 7313.16
"309" "against" 9186.04
"310" "agreement" 10376.47
"311" "alarming" 13301.62
"312" "amenable" 9863.86
"313" "angelic" 12615.51
"314" "appendix" 7937.7
"315" "feudal" 4878.15
"316" "arsenal" 13780.92
"317" "artistry" 12499.22
"318" "audition" 10731.87
"319" "baronet" 14639.99
"320" "basilisk" 8826.3
"321" "thinker" 10503.1
"322" "active" 7494.01
"323" "factual" 5329.11
"324" "lessen" 12416
"325" "safely" 4762.35
"326" "brisket" 8028.2
"327" "brothel" 6421.15
"328" "leftist" 9807.79
"329" "prayer" 12235.48
"330" "buzzard" 6587.74
"331" "candidacy" 9731.19
"332" "finely" 10267.37
"333" "cloudless" 6045.86
"334" "muffler" 8154.32
"335" "colonel" 13563.69
"336" "command" 11912.07
"337" "country" 8043.99
"338" "courteous" 7270.36
"339" "vainly" 6869.3
"340" "watery" 15230.9
"341" "critical" 13069.32
"342" "pottery" 12618.95
"343" "cryptic" 5822.04
"344" "demonstrate" 14100.12
"345" "department" 10483.01
"346" "lately" 13697.55
"347" "dietary" 12278.62
"348" "dreamer" 13240.36
"349" "drunkard" 5637.07
"350" "within" 7993.8
"351" "electron" 10376.82
"352" "employer" 7472.67
"353" "eruption" 12397.93
"354" "ethereal" 12370.4
"355" "extract" 6894.3
"356" "facetious" 7954.49
"357" "harden" 12198.56
"358" "touchy" 6080.23
"359" "fleeting" 10262.32
"360" "lovers" 10785.61
"361" "adviser" 10386.1
"362" "floater" 14212.11
"363" "prudish" 5900.65
"364" "golden" 8822.01
"365" "fruitless" 6434.48
"366" "fuselage" 6902.26
"367" "keeper" 8840.88
"368" "cuffs" 1539.76
"369" "miller" 13662.24
"370" "glossary" 9240.11
"371" "bridal" 9444.96
"372" "thinly" 6168.79
"373" "government" 10069.61
"374" "greenery" 13123.71
"375" "grueling" 8958.35
"376" "formal" 9150.67
"377" "folder" 11199.66
"378" "firmly" 3180.03
"379" "brutal" 8357.3
"380" "infantry" 11303.49
"381" "inhibitory" 8526.75
"382" "international" 16868.75
"383" "inventory" 12136.61
"384" "investigate" 12743.97
"385" "sandy" 10909.08
"386" "twisty" 5528.54
"387" "legendary" 10486.56
"388" "liquidate" 9412.4
"389" "thorny" 4204.42
"390" "tripper" 12666.89
"391" "neighbour" 4013.67
"392" "northern" 10452.62
"393" "really" 9796.19
"394" "acutely" 7994.26
"395" "leaflet" 6825.18
"396" "oxygenate" 9925.81
"397" "parenthesis" 13104.99
"398" "phonetic" 11068
"399" "plaintiff" 10007.82
"400" "editor" 11089.1
"401" "winger" 12753.03
"402" "plumage" 4346.85
"403" "filmy" 3369.12
"404" "dealer" 13856.38
"405" "gently" 8120.31
"406" "gifted" 6911.97
"407" "roller" 15397.93
"408" "question" 11849.27
"409" "quieten" 10729.05
"410" "rational" 17155.96
"411" "reaction" 12196.37
"412" "renewable" 9167.24
"413" "downs" 3344.11
"414" "scalding" 10691.31
"415" "ninety" 10962.12
"416" "secretary" 11695.72
"417" "tricky" 9397.64
"418" "itchy" 4914.27
"419" "happy" 2647.63
"420" "frosty" 7811.85
"421" "twelfth" 2321.7
"422" "hourly" 2887.26
"423" "heroic" 12803.02
"424" "splinter" 16093.45
"425" "stampede" 10129.27
"426" "buoyant" 7615.92
"427" "stubborn" 6088.92
"428" "misty" 8889.85
"429" "surface" 4581.84
"430" "surgeon" 6428.28
"431" "spindly" 7380.43
"432" "teacher" 12982.55
"433" "textile" 10012.29
"434" "thicket" 5649.62
"435" "wishful" 3140.48
"436" "cookery" 8579.1
"437" "angler" 15693.08
"438" "naughty" 3021.58
"439" "chatter" 16437.68
"440" "cheaply" 3973.12
"441" "lesser" 14724.51
"442" "others" 9272.32
"443" "ranger" 17699.06
"444" "villain" 10449.15
"445" "beastly" 5613.48
"446" "acidic" 9466.99
"447" "plunder" 9914.2
"448" "adopted" 6901.42
"449" "perhaps" 7783.6
"450" "composer" 11501.83
"451" "palpably" 4689.92
"452" "watcher" 11492.92
"453" "believer" 11500.92
"454" "archer" 14902.72
"455" "timidly" 6660.15
"456" "calmness" 8859.56
"457" "selfless" 7836.96
"458" "voucher" 8935
"459" "benignly" 5751.87
"460" "bearded" 8265.66
"461" "bloody" 2964.64
"462" "boarder" 12086.73
"463" "bomber" 9242.61
"464" "brandy" 12158.71
"465" "foundry" 3673.22
"466" "bulbous" 2305.78
"467" "button" 11008.35
"468" "loyally" 5593.94
"469" "epileptic" 7458.58
"470" "chilly" 6593.65
"471" "enactment" 10510.24
"472" "coaster" 15670.95
"473" "ability" 6910.84
"474" "equally" 4864.64
"475" "service" 11300.29
"476" "developer" 10248.36
"477" "crafty" 5579.76
"478" "creamy" 8086.12
"479" "tendency" 12238.62
"480" "crooked" 4051.22
"481" "dweller" 10655.94
"482" "instruction" 10779.8
"483" "production" 8639.88
"484" "dialog" 10895.88
"485" "wearily" 9837.15
"486" "starter" 19622.49
"487" "masonry" 8232.88
"488" "feathery" 9405.05
"489" "early" 8511.28
"490" "suburban" 6146.48
"491" "addition" 10842.44
"492" "vicarage" 12841.16
"493" "justify" 6591.05
"494" "distantly" 12260.31
"495" "filthy" 3238.06
"496" "fizzle" 4915.69
"497" "simplify" 6053.8
"498" "fleshy" 5504.45
"499" "flicker" 10678.56
"500" "missive" 8490.7
"501" "forceps" 5070.17
"502" "freeze" 6011.39
"503" "alcoholic" 9065.96
"504" "citation" 16165.87
"505" "glade" 7838.7
"506" "gloomy" 4340.19
"507" "sufferer" 13472.12
"508" "golfer" 9597.06
"509" "situation" 12484.45
"510" "snobbish" 4977.95
"511" "existent" 11941.06
"512" "guilty" 3025.85
"513" "hearty" 8051.5
"514" "helmet" 7273.89
"515" "validity" 8734.38
"516" "amateurish" 11931.43
"517" "revolutionary" 11441.43
"518" "murderous" 8758.7
"519" "anaesthetic" 11318.84
"520" "irony" 10308.73
"521" "jerkin" 11091.2
"522" "anxiously" 5543.34
"523" "extremism" 7615.64
"524" "marshy" 8314.64
"525" "mourner" 10680.79
"526" "friendly" 8970.54
"527" "number" 8237.49
"528" "nymphet" 3357.32
"529" "organic" 11690.75
"530" "fossilise" 9456.51
"531" "lectureship" 7192.46
"532" "dreadful" 5144.69
"533" "absurdity" 4489.18
"534" "planet" 12677.53
"535" "plucky" 1683.84
"536" "broiler" 11332.91
"537" "plush" 2492.86
"538" "poetry" 5483.88
"539" "public" 6636.89
"540" "pulpit" 4068.85
"541" "actually" 5483.32
"542" "mimicry" 6866.48
"543" "steadily" 8811.47
"544" "physical" 7249.75
"545" "exemption" 7692.2
"546" "risky" 8700.79
"547" "jauntily" 7023.94
"548" "scrape" 9052.97
"549" "narrowly" 8125.44
"550" "obviously" 3307.49
"551" "shovel" 4950.86
"552" "sight" 4086.81
"553" "signet" 7940.93
"554" "smuggle" 4003.74
"555" "sniper" 10126.71
"556" "soften" 9865.04
"557" "idealism" 8522.71
"558" "squawk" 1359.56
"559" "defector" 7082.74
"560" "gaseous" 5259.23
"561" "stirrup" 7990.6
"562" "moisture" 10104.1
"563" "medical" 10543.24
"564" "novelty" 6000.04
"565" "tactile" 10886.98
"566" "finally" 10295.87
"567" "booklet" 4621.91
"568" "scruffy" 2989.9
"569" "toaster" 15764.44
"570" "trainee" 12332.94
"571" "treaty" 11743.45
"572" "trolley" 9569.3
"573" "trumpet" 6205.8
"574" "twinkle" 6016.38
"575" "united" 9716.29
"576" "viewer" 9273.42
"577" "grossly" 5872.12
"578" "widowed" 3132.82
"579" "yearly" 6913.57
"580" "acreage" 7728.24
"581" "kingdom" 7313.16
"582" "against" 9186.04
"583" "agreement" 10376.47
"584" "alarming" 13301.62
"585" "amenable" 9863.86
"586" "angelic" 12615.51
"587" "appendix" 7937.7
"588" "feudal" 4878.15
"589" "arsenal" 13780.92
"590" "artistry" 12499.22
"591" "audition" 10731.87
"592" "baronet" 14639.99
"593" "basilisk" 8826.3
"594" "thinker" 10503.1
"595" "active" 7494.01
"596" "factual" 5329.11
"597" "lessen" 12416
"598" "safely" 4762.35
"599" "brisket" 8028.2
"600" "brothel" 6421.15
"601" "leftist" 9807.79
"602" "prayer" 12235.48
"603" "buzzard" 6587.74
"604" "candidacy" 9731.19
"605" "finely" 10267.37
"606" "cloudless" 6045.86
"607" "muffler" 8154.32
"608" "colonel" 13563.69
"609" "country" 8043.99
"610" "courteous" 7270.36
"611" "vainly" 6869.3
"612" "watery" 15230.9
"613" "critical" 13069.32
"614" "pottery" 12618.95
"615" "cryptic" 5822.04
"616" "department" 10483.01
"617" "dietary" 12278.62
"618" "discern" 11912.68
"619" "dreamer" 13240.36
"620" "drunkard" 5637.07
"621" "within" 7993.8
"622" "electron" 10376.82
"623" "ethereal" 12370.4
"624" "extract" 6894.3
"625" "harden" 12198.56
"626" "touchy" 6080.23
"627" "fleeting" 10262.32
"628" "lovers" 10785.61
"629" "adviser" 10386.1
"630" "floater" 14212.11
"631" "golden" 8822.01
"632" "fruitless" 6434.48
"633" "fuselage" 6902.26
"634" "keeper" 8840.88
"635" "cuffs" 1539.76
"636" "miller" 13662.24
"637" "bridal" 9444.96
"638" "thinly" 6168.79
"639" "government" 10069.61
"640" "greenery" 13123.71
"641" "grueling" 8958.35
"642" "formal" 9150.67
"643" "folder" 11199.66
"644" "firmly" 3180.03
"645" "brutal" 8357.3
"646" "infantry" 11303.49
"647" "international" 16868.75
"648" "inventory" 12136.61
"649" "investigate" 12743.97
"650" "sandy" 10909.08
"651" "twisty" 5528.54
"652" "legendary" 10486.56
"653" "liquidate" 9412.4
"654" "thorny" 4204.42
"655" "tripper" 12666.89
"656" "neighbour" 4013.67
"657" "northern" 10452.62
"658" "really" 9796.19
"659" "acutely" 7994.26
"660" "leaflet" 6825.18
"661" "oxygenate" 9925.81
"662" "phonetic" 11068
"663" "plaintiff" 10007.82
"664" "editor" 11089.1
"665" "plumage" 4346.85
"666" "filmy" 3369.12
"667" "dealer" 13856.38
"668" "gently" 8120.31
"669" "gifted" 6911.97
"670" "fishy" 4731.52
"671" "question" 11849.27
"672" "quieten" 10729.05
"673" "weekly" 914.82
"674" "rational" 17155.96
"675" "reaction" 12196.37
"676" "renewable" 9167.24
"677" "downs" 3344.11
"678" "ninety" 10962.12
"679" "secretary" 11695.72
"680" "tricky" 9397.64
"681" "happy" 2647.63
"682" "frosty" 7811.85
"683" "twelfth" 2321.7
"684" "hourly" 2887.26
"685" "heroic" 12803.02
"686" "splinter" 16093.45
"687" "stampede" 10129.27
"688" "stilted" 11378.1
"689" "buoyant" 7615.92
"690" "stubborn" 6088.92
"691" "misty" 8889.85
"692" "surgeon" 6428.28
"693" "spindly" 7380.43
"694" "teacher" 12982.55
"695" "textile" 10012.29
"696" "thicket" 5649.62
"697" "wishful" 3140.48
"698" "angler" 15693.08
"699" "naughty" 3021.58
"700" "chatter" 16437.68
"701" "silken" 7796.98
"702" "cheaply" 3973.12
"703" "lesser" 14724.51
"704" "others" 9272.32
"705" "ranger" 17699.06
"706" "coyness" 8470.2
"707" "beastly" 5613.48
"708" "acidic" 9466.99
"709" "adopted" 6901.42
"710" "perhaps" 7783.6
"711" "equipment" 6570.94
"712" "composer" 11501.83
"713" "palpably" 4689.92
"714" "watcher" 11492.92
"715" "believer" 11500.92
"716" "archer" 14902.72
"717" "timidly" 6660.15
"718" "calmness" 8859.56
"719" "voucher" 8935
"720" "benignly" 5751.87
"721" "bearded" 8265.66
"722" "bloody" 2964.64
"723" "boarder" 12086.73
"724" "bomber" 9242.61
"725" "brandy" 12158.71
"726" "foundry" 3673.22
"727" "bulbous" 2305.78
"728" "button" 11008.35
"729" "loyally" 5593.94
"730" "epileptic" 7458.58
"731" "chilly" 6593.65
"732" "enactment" 10510.24
"733" "coaster" 15670.95
"734" "ability" 6910.84
"735" "equally" 4864.64
"736" "service" 11300.29
"737" "developer" 10248.36
"738" "crafty" 5579.76
"739" "creamy" 8086.12
"740" "tendency" 12238.62
"741" "crooked" 4051.22
"742" "dweller" 10655.94
"743" "instruction" 10779.8
"744" "production" 8639.88
"745" "dialog" 10895.88
"746" "wearily" 9837.15
"747" "starter" 19622.49
"748" "masonry" 8232.88
"749" "feathery" 9405.05
"750" "early" 8511.28
"751" "suburban" 6146.48
"752" "addition" 10842.44
"753" "vicarage" 12841.16
"754" "justify" 6591.05
"755" "fleshy" 5504.45
"756" "flicker" 10678.56
"757" "missive" 8490.7
"758" "forceps" 5070.17
"759" "freeze" 6011.39
"760" "alcoholic" 9065.96
"761" "citation" 16165.87
"762" "galaxy" 6349.09
"763" "glade" 7838.7
"764" "gloomy" 4340.19
"765" "sufferer" 13472.12
"766" "golfer" 9597.06
"767" "situation" 12484.45
"768" "snobbish" 4977.95
"769" "guilty" 3025.85
"770" "hearty" 8051.5
"771" "helmet" 7273.89
"772" "validity" 8734.38
"773" "amateurish" 11931.43
"774" "revolutionary" 11441.43
"775" "murderous" 8758.7
"776" "anaesthetic" 11318.84
"777" "irony" 10308.73
"778" "jerkin" 11091.2
"779" "anxiously" 5543.34
"780" "extremism" 7615.64
"781" "friendly" 8970.54
"782" "number" 8237.49
"783" "nymphet" 3357.32
"784" "organic" 11690.75
"785" "fossilise" 9456.51
"786" "lectureship" 7192.46
"787" "dreadful" 5144.69
"788" "absurdity" 4489.18
"789" "planet" 12677.53
"790" "broiler" 11332.91
"791" "plush" 2492.86
"792" "poetry" 5483.88
"793" "public" 6636.89
"794" "pulpit" 4068.85
"795" "mimicry" 6866.48
"796" "steadily" 8811.47
"797" "physical" 7249.75
"798" "exemption" 7692.2
"799" "risky" 8700.79
"800" "scrape" 9052.97
"801" "narrowly" 8125.44
"802" "obviously" 3307.49
"803" "signet" 7940.93
"804" "sniper" 10126.71
"805" "soften" 9865.04
"806" "defector" 7082.74
"807" "stirrup" 7990.6
"808" "moisture" 10104.1
"809" "medical" 10543.24
"810" "tactile" 10886.98
"811" "finally" 10295.87
"812" "booklet" 4621.91
"813" "toaster" 15764.44
"814" "trainee" 12332.94
"815" "treaty" 11743.45
"816" "trolley" 9569.3
"817" "trumpet" 6205.8
"818" "twinkle" 6016.38
"819" "united" 9716.29
"820" "viewer" 9273.42
"821" "whisker" 8609.27
"822" "widowed" 3132.82
"823" "yearly" 6913.57
"824" "acreage" 7728.24
"825" "kingdom" 7313.16
"826" "against" 9186.04
"827" "agreement" 10376.47
"828" "alarming" 13301.62
"829" "amenable" 9863.86
"830" "angelic" 12615.51
"831" "appendix" 7937.7
"832" "feudal" 4878.15
"833" "arsenal" 13780.92
"834" "artistry" 12499.22
"835" "audition" 10731.87
"836" "baronet" 14639.99
"837" "basilisk" 8826.3
"838" "thinker" 10503.1
"839" "active" 7494.01
"840" "factual" 5329.11
"841" "lessen" 12416
"842" "safely" 4762.35
"843" "leftist" 9807.79
"844" "prayer" 12235.48
"845" "buzzard" 6587.74
"846" "candidacy" 9731.19
"847" "finely" 10267.37
"848" "cloudless" 6045.86
"849" "muffler" 8154.32
"850" "colonel" 13563.69
"851" "command" 11912.07
"852" "country" 8043.99
"853" "courteous" 7270.36
"854" "vainly" 6869.3
"855" "watery" 15230.9
"856" "critical" 13069.32
"857" "cryptic" 5822.04
"858" "demonstrate" 14100.12
"859" "department" 10483.01
"860" "lately" 13697.55
"861" "dietary" 12278.62
"862" "discern" 11912.68
"863" "dreamer" 13240.36
"864" "drunkard" 5637.07
"865" "electron" 10376.82
"866" "employer" 7472.67
"867" "eruption" 12397.93
"868" "ethereal" 12370.4
"869" "extract" 6894.3
"870" "harden" 12198.56
"871" "touchy" 6080.23
"872" "fleeting" 10262.32
"873" "lovers" 10785.61
"874" "adviser" 10386.1
"875" "prudish" 5900.65
"876" "golden" 8822.01
"877" "fruitless" 6434.48
"878" "fuselage" 6902.26
"879" "keeper" 8840.88
"880" "cuffs" 1539.76
"881" "miller" 13662.24
"882" "glossary" 9240.11
"883" "bridal" 9444.96
"884" "thinly" 6168.79
"885" "government" 10069.61
"886" "greenery" 13123.71
"887" "grueling" 8958.35
"888" "formal" 9150.67
"889" "folder" 11199.66
"890" "firmly" 3180.03
"891" "brutal" 8357.3
"892" "infantry" 11303.49
"893" "inhibitory" 8526.75
"894" "international" 16868.75
"895" "inventory" 12136.61
"896" "investigate" 12743.97
"897" "sandy" 10909.08
"898" "twisty" 5528.54
"899" "legendary" 10486.56
"900" "liquidate" 9412.4
"901" "thorny" 4204.42
"902" "tripper" 12666.89
"903" "northern" 10452.62
"904" "leaflet" 6825.18
"905" "oxygenate" 9925.81
"906" "parenthesis" 13104.99
"907" "phonetic" 11068
"908" "plaintiff" 10007.82
"909" "editor" 11089.1
"910" "winger" 12753.03
"911" "plumage" 4346.85
"912" "filmy" 3369.12
"913" "dealer" 13856.38
"914" "gently" 8120.31
"915" "gifted" 6911.97
"916" "roller" 15397.93
"917" "quieten" 10729.05
"918" "rational" 17155.96
"919" "reaction" 12196.37
"920" "renewable" 9167.24
"921" "downs" 3344.11
"922" "scullery" 9696.08
"923" "secretary" 11695.72
"924" "tricky" 9397.64
"925" "happy" 2647.63
"926" "frosty" 7811.85
"927" "twelfth" 2321.7
"928" "heroic" 12803.02
"929" "splinter" 16093.45
"930" "stampede" 10129.27
"931" "stilted" 11378.1
"932" "surface" 4581.84
"933" "spindly" 7380.43
"934" "teacher" 12982.55
"935" "thicket" 5649.62
"936" "wishful" 3140.48
"937" "cookery" 8579.1
"938" "angler" 15693.08
"939" "naughty" 3021.58
"940" "chatter" 16437.68
"941" "cheaply" 3973.12
"942" "others" 9272.32
"943" "ranger" 17699.06
"944" "villain" 10449.15
"945" "manly" 9149.41
"946" "coyness" 8470.2
"947" "beastly" 5613.48
"948" "acidic" 9466.99
"949" "plunder" 9914.2
"950" "adopted" 6901.42
"951" "perhaps" 7783.6
"952" "equipment" 6570.94
"953" "composer" 11501.83
"954" "palpably" 4689.92
"955" "watcher" 11492.92
"956" "believer" 11500.92
"957" "archer" 14902.72
"958" "timidly" 6660.15
"959" "calmness" 8859.56
"960" "voucher" 8935
"961" "benignly" 5751.87
"962" "bearded" 8265.66
"963" "bloody" 2964.64
"964" "boarder" 12086.73
"965" "bomber" 9242.61
"966" "brandy" 12158.71
"967" "foundry" 3673.22
"968" "warfare" 13176.94
"969" "bulbous" 2305.78
"970" "button" 11008.35
"971" "loyally" 5593.94
"972" "epileptic" 7458.58
"973" "chilly" 6593.65
"974" "enactment" 10510.24
"975" "coaster" 15670.95
"976" "ability" 6910.84
"977" "equally" 4864.64
"978" "service" 11300.29
"979" "developer" 10248.36
"980" "crafty" 5579.76
"981" "creamy" 8086.12
"982" "tendency" 12238.62
"983" "crooked" 4051.22
"984" "dweller" 10655.94
"985" "instruction" 10779.8
"986" "production" 8639.88
"987" "dialog" 10895.88
"988" "wearily" 9837.15
"989" "masonry" 8232.88
"990" "feathery" 9405.05
"991" "early" 8511.28
"992" "suburban" 6146.48
"993" "addition" 10842.44
"994" "vicarage" 12841.16
"995" "justify" 6591.05
"996" "filthy" 3238.06
"997" "fizzle" 4915.69
"998" "simplify" 6053.8
"999" "fleshy" 5504.45
"1000" "flicker" 10678.56
"1001" "missive" 8490.7
"1002" "forceps" 5070.17
"1003" "freeze" 6011.39
"1004" "alcoholic" 9065.96
"1005" "citation" 16165.87
"1006" "glade" 7838.7
